Grade,Education Level,Math Topic,Sub_topic_1,Sub_topic_2,Sub_topic_3,Sub_topic_4,Sub_topic_5
9,High School,Quadratic equations,9:High School:Quadratic equations: Solving quadratic equations,9:High School:Quadratic equations: Graphing quadratic equations and functions,9:High School:Quadratic equations: Factoring quadratic expressions,9:High School:Quadratic equations: Solving real-world problems using quadratics,9:High School:Quadratic equations: Analyzing and interpreting data in context
9,High School,Lines,9:High School:Lines: Understanding properties of lines,9:High School:Lines: Analyzing and classifying lines,9:High School:Lines: Applying linear equations and inequalities,9:High School:Lines: Using lines to model real-world situations,9:High School:Lines: Analyzing and interpreting data in context
9,High School,Angles,9:High School:Angles: Understanding angle measurements and properties,9:High School:Angles: Classifying and identifying types of angles,9:High School:Angles: Applying angle relationships and theorems,9:High School:Angles: Solving problems involving angles,9:High School:Angles: Analyzing and interpreting data in context
9,High School,Triangles,9:High School:Triangles: Classifying and identifying types of triangles,9:High School:Triangles: Understanding triangle properties and formulas,9:High School:Triangles: Solving problems involving triangles,9:High School:Triangles: Applying triangle congruence and similarity,9:High School:Triangles: Analyzing and interpreting data in context
9,High School,Quadrilaterals,9:High School:Quadrilaterals: Classifying and identifying types of quadrilaterals,9:High School:Quadrilaterals: Understanding properties and relationships,9:High School:Quadrilaterals: Solving problems involving quadrilaterals,9:High School:Quadrilaterals: Applying properties of parallelograms and trapezoids,9:High School:Quadrilaterals: Analyzing and interpreting data in context
9,High School,Circles,9:High School:Circles: Understanding circle properties and formulas,9:High School:Circles: Applying circle theorems and properties,9:High School:Circles: Solving problems involving circles,9:High School:Circles: Applying properties of arcs and angles,9:High School:Circles: Analyzing and interpreting data in context
9,High School,Statistics and probability,"9:High School:Statistics and probability: Collecting, organizing, and representing data",9:High School:Statistics and probability: Analyzing and interpreting data distributions,9:High School:Statistics and probability: Making inferences and drawing conclusions from data,9:High School:Statistics and probability: Conducting statistical experiments and surveys,9:High School:Statistics and probability: Analyzing and interpreting data in context
9,High School,Mathematical modeling,9:High School:Mathematical modeling: Formulating and solving mathematical models,9:High School:Mathematical modeling: Applying problem-solving strategies,9:High School:Mathematical modeling: Analyzing and interpreting solutions,9:High School:Mathematical modeling: Communicating mathematical reasoning,9:High School:Mathematical modeling: Analyzing and interpreting data in context
10,High School,Factoring,10:High School:Factoring: Factoring monomials and polynomials,10:High School:Factoring: Factoring quadratic expressions,10:High School:Factoring: Factoring higher-degree polynomials,10:High School:Factoring: Applying factoring techniques,10:High School:Factoring: Analyzing and interpreting data in context
10,High School,Polynomials,"10:High School:Polynomials: Evaluating, simplifying, and performing operations","10:High School:Polynomials: Adding, subtracting, multiplying, and dividing",10:High School:Polynomials: Applying operations with polynomials,10:High School:Polynomials: Analyzing polynomial expressions,10:High School:Polynomials: Analyzing and interpreting data in context
10,High School,Rational Expressions,10:High School:Rational Expressions: Simplifying and evaluating rational expressions,10:High School:Rational Expressions: Multiplying and dividing rational expressions,10:High School:Rational Expressions: Adding and subtracting rational expressions,10:High School:Rational Expressions: Applying operations with rational expressions,10:High School:Rational Expressions: Analyzing and interpreting data in context
10,High School,Congruence,10:High School:Congruence: Identifying congruent figures,10:High School:Congruence: Applying congruence criteria,10:High School:Congruence: Solving problems involving congruent figures,10:High School:Congruence: Analyzing and applying congruence in real-life context,10:High School:Congruence: Analyzing and interpreting data in context
10,High School,Similarity,10:High School:Similarity: Identifying similar figures,10:High School:Similarity: Applying similarity criteria,10:High School:Similarity: Solving problems involving similar figures,10:High School:Similarity: Analyzing and applying similarity in real-life context,10:High School:Similarity: Analyzing and interpreting data in context
10,High School,Trigonometry,10:High School:Trigonometry: Understanding trigonometric ratios and functions,10:High School:Trigonometry: Solving problems using trigonometry,10:High School:Trigonometry: Applying trigonometry in real-life situations,10:High School:Trigonometry: Analyzing and interpreting data in context,10:High School:Trigonometry: Analyzing and interpreting data in context
10,High School,Data Analysis,"10:High School:Data Analysis: Collecting, organizing, and representing data",10:High School:Data Analysis: Analyzing data sets and distributions,10:High School:Data Analysis: Making inferences and drawing conclusions from data,10:High School:Data Analysis: Conducting statistical studies and experiments,10:High School:Data Analysis: Analyzing and interpreting data in context
10,High School,Probability,10:High School:Probability: Understanding probability and its applications,10:High School:Probability: Calculating probabilities and odds,10:High School:Probability: Solving problems involving probability,10:High School:Probability: Analyzing and interpreting data in context,10:High School:Probability: Analyzing and interpreting data in context
10,High School,Exponents,10:High School:Exponents: Evaluating and simplifying expressions with exponents,10:High School:Exponents: Applying laws of exponents and logarithms,10:High School:Exponents: Solving exponential and logarithmic equations,10:High School:Exponents: Applying exponential and logarithmic functions,10:High School:Exponents: Analyzing and interpreting data in context
10,High School,Quadratic Equations,10:High School:Quadratic Equations: Solving quadratic equations,10:High School:Quadratic Equations: Graphing quadratic functions,10:High School:Quadratic Equations: Analyzing properties of quadratic functions,10:High School:Quadratic Equations: Applying quadratic equations in real-life situations,10:High School:Quadratic Equations: Analyzing and interpreting data in context
10,High School,Logarithms,10:High School:Logarithms: Understanding properties and applications of logarithms,10:High School:Logarithms: Solving logarithmic equations,10:High School:Logarithms: Graphing logarithmic functions,10:High School:Logarithms: Applying logarithmic functions in real-life situations,10:High School:Logarithms: Analyzing and interpreting data in context
11,High School,Advanced functions,11:High School:Advanced functions: Function notation,11:High School:Advanced functions: Transformations of functions,11:High School:Advanced functions: Composition and inverse functions,"11:High School:Advanced functions: Rational, exponential, and logarithmic functions",11:High School:Advanced functions: Analyzing and interpreting data
11,High School,Logarithmic functions,11:High School:Logarithmic functions: Properties and applications of logarithms,11:High School:Logarithmic functions: Solving logarithmic equations,11:High School:Logarithmic functions: Graphing logarithmic functions,11:High School:Logarithmic functions: Real-life applications of logarithmic functions,11:High School:Logarithmic functions: Analyzing and interpreting data
11,High School,Rational exponents,11:High School:Rational exponents: Simplifying expressions with rational exponents,11:High School:Rational exponents: Applying properties of rational exponents,11:High School:Rational exponents: Solving equations and inequalities with rational exponents,11:High School:Rational exponents: Real-life applications of rational exponents,11:High School:Rational exponents: Analyzing and interpreting data
11,High School,Properties of circles,11:High School:Properties of circles: Understanding circle properties and formulas,11:High School:Properties of circles: Calculating measures of arcs and angles,11:High School:Properties of circles: Applying circle theorems and formulas,11:High School:Properties of circles: Solving problems involving circles and arcs,11:High School:Properties of circles: Analyzing and interpreting data
11,High School,Transformations and properties of functions,11:High School:Transformations and properties of functions: Understanding transformations and their effects on graphs,11:High School:Transformations and properties of functions: Analyzing function properties and behavior,11:High School:Transformations and properties of functions: Graphing functions and their transformations,11:High School:Transformations and properties of functions: Real-life applications of function transformations,11:High School:Transformations and properties of functions: Analyzing and interpreting data
11,High School,Trigonometric identities and equations,11:High School:Trigonometric identities and equations: Simplifying trigonometric expressions,11:High School:Trigonometric identities and equations: Proving trigonometric identities,11:High School:Trigonometric identities and equations: Solving trigonometric equations,11:High School:Trigonometric identities and equations: Real-life applications of trigonometric equations,11:High School:Trigonometric identities and equations: Analyzing and interpreting data
11,High School,Radian measure and applications,11:High School:Radian measure and applications: Understanding radians and their relationship to degrees,11:High School:Radian measure and applications: Applying radians in trigonometry,11:High School:Radian measure and applications: Solving problems involving circular motion,11:High School:Radian measure and applications: Real-life applications of radian measure,11:High School:Radian measure and applications: Analyzing and interpreting data
11,High School,Applications of Trigonometry,11:High School:Applications of Trigonometry: Solving real-world problems using trigonometry,11:High School:Applications of Trigonometry: Analyzing periodic functions and models,11:High School:Applications of Trigonometry: Solving problems involving triangles and navigation systems,11:High School:Applications of Trigonometry: Real-life applications of trigonometry,11:High School:Applications of Trigonometry: Analyzing and interpreting data
11,High School,Normal distribution and regression analysis,11:High School:Normal distribution and regression analysis: Understanding normal distribution and standard deviation,11:High School:Normal distribution and regression analysis: Analyzing data distributions,11:High School:Normal distribution and regression analysis: Conducting regression analysis and making predictions,11:High School:Normal distribution and regression analysis: Applying statistical models and inference,11:High School:Normal distribution and regression analysis: Analyzing and interpreting data
11,High School,Exponential functions and logarithmic functions,11:High School:Exponential functions and logarithmic functions: Understanding properties and applications of exponents,11:High School:Exponential functions and logarithmic functions: Solving exponential and logarithmic equations,11:High School:Exponential functions and logarithmic functions: Graphing exponential and logarithmic functions,11:High School:Exponential functions and logarithmic functions: Real-life applications of exponential and logarithmic functions,11:High School:Exponential functions and logarithmic functions: Analyzing and interpreting data
12,High School,Advanced algebraic concepts,12:High School:Advanced algebraic concepts: Matrices and determinants,12:High School:Advanced algebraic concepts: Complex numbers and operations,12:High School:Advanced algebraic concepts: Polynomial functions and equations,12:High School:Advanced algebraic concepts: Conic sections and parametric equations,12:High School:Advanced algebraic concepts: Limits and continuity
12,High School,Trigonometric functions,12:High School:Trigonometric functions: Trigonometric ratios and identities,12:High School:Trigonometric functions: Trigonometric equations and inequalities,12:High School:Trigonometric functions: Graphing trigonometric functions,12:High School:Trigonometric functions: Inverse trigonometric functions and equations,12:High School:Trigonometric functions: Trigonometric identities and proofs
12,High School,Exponential and logarithmic functions,12:High School:Exponential and logarithmic functions: Exponential functions and equations,12:High School:Exponential and logarithmic functions: Logarithmic functions and equations,12:High School:Exponential and logarithmic functions: Applications of exponential and logarithmic functions,12:High School:Exponential and logarithmic functions: Modeling with exponential and logarithmic functions,12:High School:Exponential and logarithmic functions: Derivatives and integrals
12,High School,Trigonometric identities and equations,12:High School:Trigonometric identities and equations: Proving trigonometric identities,12:High School:Trigonometric identities and equations: Solving trigonometric equations and inequalities,12:High School:Trigonometric identities and equations: Complex numbers and their applications,12:High School:Trigonometric identities and equations: Modeling with trigonometric functions,12:High School:Trigonometric identities and equations: Differential equations and series
12,High School,Analytic geometry and vectors,"12:High School:Analytic geometry and vectors: Lines, planes, and their equations",12:High School:Analytic geometry and vectors: Vector operations and properties,12:High School:Analytic geometry and vectors: Applications of vectors in geometry and physics,12:High School:Analytic geometry and vectors: Three-dimensional geometry and vectors,"12:High School:Analytic geometry and vectors: Dot product, cross product, and their applications"
12,High School,Probability and statistics,12:High School:Probability and statistics: Probability rules and calculations,12:High School:Probability and statistics: Discrete and continuous random variables,12:High School:Probability and statistics: Statistical data analysis and inference,12:High School:Probability and statistics: Hypothesis testing and confidence intervals,12:High School:Probability and statistics: Regression analysis and correlation
12,High School,Calculus,12:High School:Calculus: Limits and continuity,12:High School:Calculus: Derivatives and their applications,12:High School:Calculus: Integrals and their applications,12:High School:Calculus: Differential equations and modeling,12:High School:Calculus: Multivariable calculus and vector calculus
12,High School,Discrete mathematics and financial mathematics,12:High School:Discrete mathematics and financial mathematics: Combinatorics and counting principles,12:High School:Discrete mathematics and financial mathematics: Graph theory and networks,12:High School:Discrete mathematics and financial mathematics: Financial mathematics and investments,12:High School:Discrete mathematics and financial mathematics: Optimization and linear programming,12:High School:Discrete mathematics and financial mathematics: Cryptography and coding theory
